"가축방역관.early" "가축질병방역대책본부.early" "강화.early" "거점소독소.early" "검역본부.early" "경찰.early" "고정배치.early" "군부대.early" "긴급.early" "농가.early" "농림부.early" "농장.early" "대시민홍보.early" "매몰.early" "모임금지.early" "발생농장.early" "방역.early" "방역조치.early" "방역활동.early" "방제차량.early" "백신.early" "백신접종.early" "보건부.early" "보건소.early" "보건환경연구원.early" "보고체계.early" "비상방역체제.early" "살처분.early" "상황실.early" "상황전파.early" "소각처리.early" "소독.early" "시료채취.early" "신고.early" "역학조사.early" "예방.early" "예방수칙.early" "예찰.early" "의심.early" "의심농장.early" "이동제한.early" "이동통제.early" "이동통제초소.early" "인근지역.early" "작업장.early" "재난안전대책본부.early" "중앙대책본부.early" "중앙재난안전대책본부.early" "지방경찰청.early" "지역.early" "지역재난안전대책본부.early" "집중소독.early" "총력대응.early" "축산농가.early" "축협.early" "출입제한.early" "출입통제.early" "통제초소.early" "파견.early" "항바이러스.early" "협조요청.early" "협조체제.early" "홍보.early" "환경부.early" "후속조치사항.early" "가축방역관.serious" "가축질병방역대책본부.serious" "강화.serious" "거점소독소.serious" "검역본부.serious" "경찰.serious" "고정배치.serious" "군부대.serious" "긴급.serious" "농가.serious" "농림부.serious" "농장.serious" "대시민홍보.serious" "매몰.serious" "모임금지.serious" "발생농장.serious" "방역.serious" "방역조치.serious" "방역활동.serious" "방제차량.serious" "백신.serious" "백신접종.serious" "보건부.serious" "보건소.serious" "보건환경연구원.serious" "보고체계.serious" "비상방역체제.serious" "살처분.serious" "상황실.serious" "상황전파.serious" "소각처리.serious" "소독.serious" "시료채취.serious" "신고.serious" "역학조사.serious" "예방.serious" "예방수칙.serious" "예찰.serious" "의심.serious" "의심농장.serious" "이동제한.serious" "이동통제.serious" "이동통제초소.serious" "인근지역.serious" "작업장.serious" "재난안전대책본부.serious" "중앙대책본부.serious" "중앙재난안전대책본부.serious" "지방경찰청.serious" "지역.serious" "지역재난안전대책본부.serious" "집중소독.serious" "총력대응.serious" "축산농가.serious" "축협.serious" "출입제한.serious" "출입통제.serious" "통제초소.serious" "파견.serious" "항바이러스.serious" "협조요청.serious" "협조체제.serious" "홍보.serious" "환경부.serious" "후속조치사항.serious" "가축방역관.termination" "가축질병방역대책본부.termination" "강화.termination" "거점소독소.termination" "검역본부.termination" "경찰.termination" "고정배치.termination" "군부대.termination" "긴급.termination" "농가.termination" "농림부.termination" "농장.termination" "대시민홍보.termination" "매몰.termination" "모임금지.termination" "발생농장.termination" "방역.termination" "방역조치.termination" "방역활동.termination" "방제차량.termination" "백신.termination" "백신접종.termination" "보건부.termination" "보건소.termination" "보건환경연구원.termination" "보고체계.termination" "비상방역체제.termination" "살처분.termination" "상황실.termination" "상황전파.termination" "소각처리.termination" "소독.termination" "시료채취.termination" "신고.termination" "역학조사.termination" "예방.termination" "예방수칙.termination" "예찰.termination" "의심.termination" "의심농장.termination" "이동제한.termination" "이동통제.termination" "이동통제초소.termination" "인근지역.termination" "작업장.termination" "재난안전대책본부.termination" "중앙대책본부.termination" "중앙재난안전대책본부.termination" "지방경찰청.termination" "지역.termination" "지역재난안전대책본부.termination" "집중소독.termination" "총력대응.termination" "축산농가.termination" "축협.termination" "출입제한.termination" "출입통제.termination" "통제초소.termination" "파견.termination" "항바이러스.termination" "협조요청.termination" "협조체제.termination" "홍보.termination" "환경부.termination" "후속조치사항.termination"
"감소세" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
"강원도서" 0 0 12 0 0 0 0 0 0 0 147 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 94 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 31 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"강화" 0 0 29 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"검증" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"경기도" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"경남" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"경북" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"경상" 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 5 2 24 0 0 1 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"경제" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"경제관료" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
