"rules","support","confidence","lift"
"2","{비상방역체제방역체제} => {살처분,백신량,긴급복구}",0.333333333333333,1,3
"4","{비상방역체제방역체제} => {상황실,방문객,예방대책대책,소독기,방지}",0.333333333333333,1,3
"6","{비상방역체제방역체제} => {지역경제,대책회의,농림부}",0.333333333333333,1,3
"8","{비상방역체제방역체제} => {처리시설}",0.333333333333333,1,3
"10","{비상방역체제방역체제} => {축산물,한우고기}",0.333333333333333,1,3
"15","{살처분,백신량,긴급복구} => {상황실,방문객,예방대책대책,소독기,방지}",0.333333333333333,1,3
"17","{살처분,백신량,긴급복구} => {지역경제,대책회의,농림부}",0.333333333333333,1,3
"19","{살처분,백신량,긴급복구} => {처리시설}",0.333333333333333,1,3
"21","{살처분,백신량,긴급복구} => {축산물,한우고기}",0.333333333333333,1,3
"26","{상황실,방문객,예방대책대책,소독기,방지} => {지역경제,대책회의,농림부}",0.333333333333333,1,3
"28","{상황실,방문객,예방대책대책,소독기,방지} => {처리시설}",0.333333333333333,1,3
"30","{상황실,방문객,예방대책대책,소독기,방지} => {축산물,한우고기}",0.333333333333333,1,3
"35","{지역경제,대책회의,농림부} => {처리시설}",0.333333333333333,1,3
"37","{지역경제,대책회의,농림부} => {축산물,한우고기}",0.333333333333333,1,3
"42","{처리시설} => {축산물,한우고기}",0.333333333333333,1,3
"50","{핏물} => {지하수}",0.333333333333333,1,3
"52","{핏물} => {현장검증,매몰지}",0.333333333333333,1,3
"54","{핏물} => {안정세,공급량,소비량,구청}",0.333333333333333,1,3
"56","{핏물} => {상황실,살포}",0.333333333333333,1,3
"58","{핏물} => {사태수습}",0.333333333333333,1,3
"60","{핏물} => {관리,지역갈등,침출수,축산폐수}",0.333333333333333,1,3
"65","{지하수} => {현장검증,매몰지}",0.333333333333333,1,3
"67","{지하수} => {안정세,공급량,소비량,구청}",0.333333333333333,1,3
"69","{지하수} => {상황실,살포}",0.333333333333333,1,3
"71","{지하수} => {사태수습}",0.333333333333333,1,3
"73","{지하수} => {관리,지역갈등,침출수,축산폐수}",0.333333333333333,1,3
"78","{현장검증,매몰지} => {안정세,공급량,소비량,구청}",0.333333333333333,1,3
"80","{현장검증,매몰지} => {상황실,살포}",0.333333333333333,1,3
"82","{현장검증,매몰지} => {사태수습}",0.333333333333333,1,3
"84","{현장검증,매몰지} => {관리,지역갈등,침출수,축산폐수}",0.333333333333333,1,3
"89","{안정세,공급량,소비량,구청} => {상황실,살포}",0.333333333333333,1,3
"91","{안정세,공급량,소비량,구청} => {사태수습}",0.333333333333333,1,3
"93","{안정세,공급량,소비량,구청} => {관리,지역갈등,침출수,축산폐수}",0.333333333333333,1,3
"98","{상황실,살포} => {사태수습}",0.333333333333333,1,3
"100","{상황실,살포} => {관리,지역갈등,침출수,축산폐수}",0.333333333333333,1,3
"105","{사태수습} => {관리,지역갈등,침출수,축산폐수}",0.333333333333333,1,3
"113","{지역갈등,오염도,핏물} => {시장}",0.333333333333333,1,3
"115","{지역갈등,오염도,핏물} => {상황실,대처,비상방역체제방역체제}",0.333333333333333,1,3
