rules,support,confidence,lift,
1,"{우유값,소비량,기준가격,안정세,선물용,한우고기} => {부진,관리,경제관료,피해대책,상황실}",0.111111111,1,9
3,"{우유값,소비량,기준가격,안정세,선물용,한우고기} => {공급량,생산감소}",0.111111111,1,9
6,"{부진,관리,경제관료,피해대책,상황실} => {공급량,생산감소}",0.111111111,1,9
10,"{피해대책,수질오염} => {판매량,축산물,상승부담,관광산업,농림부}",0.111111111,1,9
12,"{피해대책,수질오염} => {우유값,농업소득}",0.111111111,1,9
14,"{피해대책,수질오염} => {안정세,수입가격규모,지역경제,공급량,생산감소}",0.111111111,1,9
17,"{판매량,축산물,상승부담,관광산업,농림부} => {우유값,농업소득}",0.111111111,1,9
19,"{판매량,축산물,상승부담,관광산업,농림부} => {안정세,수입가격규모,지역경제,공급량,생산감소}",0.111111111,1,9
22,"{우유값,농업소득} => {안정세,수입가격규모,지역경제,공급량,생산감소}",0.111111111,1,9
26,"{축산물,판매량,관광산업,지원대책,수질오염} => {처리시설}",0.111111111,1,9
28,"{축산물,판매량,관광산업,지원대책,수질오염} => {상황실,대비태세,접촉}",0.111111111,1,9
30,"{축산물,판매량,관광산업,지원대책,수질오염} => {축산업,소비량,수급}",0.111111111,1,9
35,"{처리시설} => {상황실,대비태세,접촉}",0.111111111,1,9
37,"{처리시설} => {축산업,소비량,수급}",0.111111111,1,9
42,"{상황실,대비태세,접촉} => {축산업,소비량,수급}",0.111111111,1,9
47,"{축산물,관광산업,구청} => {지자체}",0.111111111,1,9
49,"{축산물,관광산업,구청} => {상황실,예방대책대책,대처,대비태세,접종}",0.111111111,1,9
55,"{지자체} => {상황실,예방대책대책,대처,대비태세,접종}",0.111111111,1,9
68,"{인상} => {상승세,판매량,안정세,소비량,시장}",0.111111111,1,9
70,"{인상} => {수입가격가격,피해대책,농림부}",0.111111111,1,9
72,{인상} => {처분},0.111111111,1,9
78,"{상황실,강화} => {등록제,관광산업,소비량,미국산,정책}",0.111111111,1,9
80,"{상황실,강화} => {대처,대응}",0.111111111,1,9
82,"{상황실,강화} => {국무회의}",0.111111111,1,9
84,"{상황실,강화} => {관광산업,식품산업}",0.111111111,1,9
86,"{상황실,강화} => {경제관료,기준}",0.111111111,1,9
90,"{등록제,관광산업,소비량,미국산,정책} => {대처,대응}",0.111111111,1,9
92,"{등록제,관광산업,소비량,미국산,정책} => {국무회의}",0.111111111,1,9
94,"{등록제,관광산업,소비량,미국산,정책} => {관광산업,식품산업}",0.111111111,1,9
96,"{등록제,관광산업,소비량,미국산,정책} => {경제관료,기준}",0.111111111,1,9
100,"{대처,대응} => {국무회의}",0.111111111,1,9
102,"{대처,대응} => {관광산업,식품산업}",0.111111111,1,9
104,"{대처,대응} => {경제관료,기준}",0.111111111,1,9
108,"{국무회의} => {관광산업,식품산업}",0.111111111,1,9
110,"{국무회의} => {경제관료,기준}",0.111111111,1,9
114,"{관광산업,식품산업} => {경제관료,기준}",0.111111111,1,9
120,"{유통업계계,안정세,관광산업,한우고기} => {예상}",0.111111111,1,9
122,"{유통업계계,안정세,관광산업,한우고기} => {수입가격가격,물가안정}",0.111111111,1,9
124,"{유통업계계,안정세,관광산업,한우고기} => {보상금,지자체}",0.111111111,1,9
126,"{유통업계계,안정세,관광산업,한우고기} => {관리본부}",0.111111111,1,9
